O3;1;0;29;
O3;2;30;54;
O3;3;55;79;
O3;4;80;104;
O3;5;105;129;
O3;6;130;149;
O3;7;150;179;
O3;8;180;209;
O3;9;210;239;
O3;10;240;100000;
NO2;1;0;29;
NO2;2;30;54;
NO2;3;55;84;
NO2;4;85;100;
NO2;5;110;134;
NO2;6;135;164;
NO2;7;165;199;
NO2;8;200;274;
NO2;9;275;399;
NO2;10;400;100000;
SO2;1;0;39;
SO2;2;40;79;
SO2;3;80;119;
SO2;4;120;159;
SO2;5;160;199;
SO2;6;200;249;
SO2;7;250;299;
SO2;8;300;399;
SO2;9;400;499;
SO2;10;500;100000;
PM10;1;0;9;
PM10;2;10;19;
PM10;3;20;29;
PM10;4;30;39;
PM10;5;40;49;
PM10;6;50;64;
PM10;7;65;79;
PM10;8;80;99;
PM10;9;100;124;
PM10;10;125;100000;